Sample	Plate	Well	Experiment	Time	Treatment	Replicate	CellNumID	WellType	TimeTreatment	Unmapped	Uniquely_mapped	Multimapped	Unpaired_total	Mapping_rate	Total_reads	Uniquely_mapped_rate	Assigned	Assigned_rate_total	Assigned_rate_uniqmap	perc_protein_coding	nr_protein_coding	perc_lncRNA	nr_lncRNA	perc_rRNA	nr_rRNA	perc_mitochondrial	nr_mitochondrial	assigned_reads	ngenes	coverage_ngenes_th
C142_B9_Martello_Polo_Day0_H9_E8_21	C142	B9	experiment_2	DAY0	E8	H9	21	SC	Day0_E8	6917	240137	98324	345378	98	345378	69.53	134774	39.02	56.12	57.38	77337	2.22	2996	38.05	51287	39.78	53613	134774	8204	1
C142_C1_Martello_Polo_Day0_H9_E8_25	C142	C1	experiment_2	DAY0	E8	H9	25	SC	Day0_E8	22678	278216	87561	388455	94.16	388455	71.62	180010	46.34	64.7	57.92	104264	1.5	2698	37.86	68154	39.98	71965	180010	7429	1
C142_C10_Martello_Polo_Day0_H9_E8_34	C142	C10	experiment_2	DAY0	E8	H9	34	SC	Day0_E8	8298	256809	91437	356544	97.67	356544	72.03	147513	41.37	57.44	52.77	77839	1.89	2790	43.25	63804	46.77	68991	147513	8189	1
C142_C11_Martello_Polo_Day0_H9_E8_35	C142	C11	experiment_2	DAY0	E8	H9	35	SC	Day0_E8	7903	181018	71358	260279	96.96	260279	69.55	110765	42.56	61.19	43.77	48477	1.59	1757	52.69	58358	54.33	60181	110765	6799	1
C142_C12_Martello_Polo_Day0_H9_E8_36	C142	C12	experiment_2	DAY0	E8	H9	36	SC	Day0_E8	6	18	9	33	81.82	33	54.55	7	21.21	38.89	28.57	2	14.29	1	57.14	4	57.14	4	7	4	1
C142_C2_Martello_Polo_Day0_H9_E8_26	C142	C2	experiment_2	DAY0	E8	H9	26	SC	Day0_E8	2894	92832	36650	132376	97.81	132376	70.13	43822	33.1	47.21	70.03	30688	2.51	1101	24.54	10754	25.82	11316	43822	6492	1
C142_C3_Martello_Polo_Day0_H9_E8_27	C142	C3	experiment_2	DAY0	E8	H9	27	SC	Day0_E8	2782	86235	38275	127292	97.81	127292	67.75	43136	33.89	50.02	64.78	27943	2.62	1129	29.83	12868	31.57	13619	43136	6381	1
C142_C4_Martello_Polo_Day0_H9_E8_28	C142	C4	experiment_2	DAY0	E8	H9	28	SC	Day0_E8	1934	45605	18303	65842	97.06	65842	69.26	20432	31.03	44.8	69.67	14235	2.97	607	24.09	4922	25.61	5232	20432	4657	1
C142_C5_Martello_Polo_Day0_H9_E8_29	C142	C5	experiment_2	DAY0	E8	H9	29	SC	Day0_E8	3425	68580	31530	103535	96.69	103535	66.24	29729	28.71	43.35	64.55	19189	3.06	911	29.44	8751	31.81	9457	29729	5442	1
C142_C6_Martello_Polo_Day0_H9_E8_30	C142	C6	experiment_2	DAY0	E8	H9	30	SC	Day0_E8	3848	128473	46048	178369	97.84	178369	72.03	70718	39.65	55.05	58.99	41720	1.89	1335	36.95	26133	38.49	27217	70718	6788	1
C142_C7_Martello_Polo_Day0_H9_E8_31	C142	C7	experiment_2	DAY0	E8	H9	31	SC	Day0_E8	2234	3963	616	6813	67.21	6813	58.17	234	3.43	5.9	68.38	160	16.24	38	5.98	14	5.56	13	234	186	1
