Sample	Plate	Well	Experiment	Time	Treatment	Replicate	CellNumID	WellType	TimeTreatment	Unmapped	Uniquely_mapped	Multimapped	Unpaired_total	Mapping_rate	Total_reads	Uniquely_mapped_rate	Assigned	Assigned_rate_total	Assigned_rate_uniqmap	perc_protein_coding	nr_protein_coding	perc_lncRNA	nr_lncRNA	perc_rRNA	nr_rRNA	perc_mitochondrial	nr_mitochondrial	assigned_reads	ngenes	coverage_ngenes_th
C145_A12_Martello_Polo_Day2_E8_C_12	C145	A12	experiment_2	DAY2	E8	C	12	SC	Day2_E8	1	2	3	6	83.33	6	33.33	1	16.67	50	100	1	0	0	0	0	0	0	1	1	1
C145_A2_Martello_Polo_Day2_E8_C_2	C145	A2	experiment_2	DAY2	E8	C	2	SC	Day2_E8	2120	826	316	3262	35.01	3262	25.32	125	3.83	15.13	54.4	68	10.4	13	26.4	33	27.2	34	125	88	1
C145_A3_Martello_Polo_Day2_E8_C_3	C145	A3	experiment_2	DAY2	E8	C	3	SC	Day2_E8	622	1544	519	2685	76.83	2685	57.5	308	11.47	19.95	77.92	240	5.84	18	9.74	30	10.71	33	308	245	1
C145_A4_Martello_Polo_Day2_E8_C_4	C145	A4	experiment_2	DAY2	E8	C	4	SC	Day2_E8	6643	46577	37735	90955	92.7	90955	51.21	21479	23.61	46.12	87.01	18689	3	645	4.53	972	6.3	1354	21479	4865	1
C145_A5_Martello_Polo_Day2_E8_C_5	C145	A5	experiment_2	DAY2	E8	C	5	SC	Day2_E8	19991	264338	206542	490871	95.93	490871	53.85	127270	25.93	48.15	80.44	102374	3.73	4742	10.3	13104	13.32	16950	127270	10315	1
C145_A6_Martello_Polo_Day2_E8_C_6	C145	A6	experiment_2	DAY2	E8	C	6	SC	Day2_E8	39701	545149	332362	917212	95.67	917212	59.44	207804	22.66	38.12	50.84	105648	5.03	10462	41.19	85595	45.05	93606	207804	9416	1
C145_A7_Martello_Polo_Day2_E8_C_7	C145	A7	experiment_2	DAY2	E8	C	7	SC	Day2_E8	17393	220229	184386	422008	95.88	422008	52.19	109998	26.07	49.95	82.84	91121	3.56	3917	7.56	8319	9.92	10914	109998	9398	1
C145_A8_Martello_Polo_Day2_E8_C_8	C145	A8	experiment_2	DAY2	E8	C	8	SC	Day2_E8	5251	46752	34523	86526	93.93	86526	54.03	21305	24.62	45.57	89	18962	3.86	822	1.99	424	2.64	562	21305	4846	1
C145_A9_Martello_Polo_Day2_E8_C_9	C145	A9	experiment_2	DAY2	E8	C	9	SC	Day2_E8	3734	32926	22486	59146	93.69	59146	55.67	15649	26.46	47.53	85.1	13317	2.61	408	6.88	1077	9.17	1435	15649	4273	1
C145_B1_Martello_Polo_Day2_E8_C_13	C145	B1	experiment_2	DAY2	E8	C	13	SC	Day2_E8	474422	1083790	546073	2104285	77.45	2104285	51.5	374636	17.8	34.57	56.63	212174	4.32	16167	35.39	132586	43.63	163437	374636	11106	1
C145_B10_Martello_Polo_Day2_E8_C_22	C145	B10	experiment_2	DAY2	E8	C	22	SC	Day2_E8	33393	1178454	424385	1636232	97.96	1636232	72.02	702564	42.94	59.62	57.59	404591	1.77	12436	38.09	267626	41.48	291422	702564	13367	1
C145_B11_Martello_Polo_Day2_E8_C_23	C145	B11	experiment_2	DAY2	E8	C	23	SC	Day2_E8	253337	2445560	751210	3450107	92.66	3450107	70.88	1226749	35.56	50.16	91.33	1120356	4.08	50010	0.25	3100	0.29	3511	1226749	13830	1
C145_B12_Martello_Polo_Day2_E8_C_24	C145	B12	experiment_2	DAY2	E8	C	24	SC	Day2_E8	2871	5511	2567	10949	73.78	10949	50.33	2300	21.01	41.73	66.91	1539	2.39	55	26.65	613	30.61	704	2300	1074	1
C145_B2_Martello_Polo_Day2_E8_C_14	C145	B2	experiment_2	DAY2	E8	C	14	SC	Day2_E8	123131	1955287	776159	2854577	95.69	2854577	68.5	1243163	43.55	63.58	63.78	792939	1.9	23647	31.2	387826	35.69	443698	1243163	13609	1
C145_B3_Martello_Polo_Day2_E8_C_15	C145	B3	experiment_2	DAY2	E8	C	15	SC	Day2_E8	78715	1601751	525799	2206265	96.43	2206265	72.6	1019227	46.2	63.63	53.72	547514	1.54	15701	42.73	435508	44.87	457328	1019227	11940	1
C145_B4_Martello_Polo_Day2_E8_C_16	C145	B4	experiment_2	DAY2	E8	C	16	SC	Day2_E8	21661	457545	187961	667167	96.75	667167	68.58	235624	35.32	51.5	59.86	141052	2.29	5392	35.22	82995	38.07	89702	235624	10524	1
C145_B5_Martello_Polo_Day2_E8_C_17	C145	B5	experiment_2	DAY2	E8	C	17	SC	Day2_E8	30120	904139	348183	1282442	97.65	1282442	70.5	524771	40.92	58.04	61.46	322530	2.61	13703	33.31	174786	36.77	192964	524771	11270	1
C145_B6_Martello_Polo_Day2_E8_C_18	C145	B6	experiment_2	DAY2	E8	C	18	SC	Day2_E8	87401	1363649	555709	2006759	95.64	2006759	67.95	892262	44.46	65.43	63.28	564643	1.72	15308	31.3	279308	35.77	319166	892262	12881	1
C145_B7_Martello_Polo_Day2_E8_C_19	C145	B7	experiment_2	DAY2	E8	C	19	SC	Day2_E8	77240	2418408	772477	3268125	97.64	3268125	74	1435941	43.94	59.38	61.09	877169	2.34	33616	34.06	489038	37.19	534092	1435941	13796	1
C145_B8_Martello_Polo_Day2_E8_C_20	C145	B8	experiment_2	DAY2	E8	C	20	SC	Day2_E8	14557	372365	168749	555671	97.38	555671	67.01	161921	29.14	43.48	69.95	113263	3.33	5386	23.01	37253	26.72	43270	161921	10155	1
C145_B9_Martello_Polo_Day2_E8_C_21	C145	B9	experiment_2	DAY2	E8	C	21	SC	Day2_E8	44952	1111381	417875	1574208	97.14	1574208	70.6	655742	41.66	59	63.41	415816	2.24	14689	31.29	205214	34.96	229218	655742	12496	1
C145_C1_Martello_Polo_Day2_E8_C_25	C145	C1	experiment_2	DAY2	E8	C	25	SC	Day2_E8	55122	244735	131897	431754	87.23	431754	56.68	135715	31.43	55.45	78.02	105885	2.41	3264	14.8	20084	19.94	27062	135715	9734	1
C145_C10_Martello_Polo_Day2_E8_C_34	C145	C10	experiment_2	DAY2	E8	C	34	SC	Day2_E8	28248	969272	364618	1362138	97.93	1362138	71.16	555796	40.8	57.34	57.71	320772	2.05	11404	37.78	209998	40.93	227484	555796	12650	1
C145_C11_Martello_Polo_Day2_E8_C_35	C145	C11	experiment_2	DAY2	E8	C	35	SC	Day2_E8	116	628	139	883	86.86	883	71.12	70	7.93	11.15	58.57	41	8.57	6	22.86	16	22.86	16	70	51	1
C145_C12_Martello_Polo_Day2_E8_C_36	C145	C12	experiment_2	DAY2	E8	C	36	SC	Day2_E8	73640	493574	324335	891549	91.74	891549	55.36	355820	39.91	72.09	70.28	250059	1.53	5457	23.43	83351	29.53	105073	355820	10067	1
C145_C2_Martello_Polo_Day2_E8_C_26	C145	C2	experiment_2	DAY2	E8	C	26	SC	Day2_E8	123261	2340734	727985	3191980	96.14	3191980	73.33	1384637	43.38	59.15	64.52	893399	1.84	25459	30.85	427102	35.35	489532	1384637	13493	1
C145_C3_Martello_Polo_Day2_E8_C_27	C145	C3	experiment_2	DAY2	E8	C	27	SC	Day2_E8	33096	1162412	435484	1630992	97.97	1630992	71.27	735354	45.09	63.26	58.13	427453	2.03	14894	37.62	276642	40.52	297979	735354	12794	1
C145_C4_Martello_Polo_Day2_E8_C_28	C145	C4	experiment_2	DAY2	E8	C	28	SC	Day2_E8	24694	822952	229928	1077574	97.71	1077574	76.37	268955	24.96	32.68	50.9	136895	3.41	9158	43	115653	45.61	122668	268955	11914	1
C145_C5_Martello_Polo_Day2_E8_C_29	C145	C5	experiment_2	DAY2	E8	C	29	SC	Day2_E8	21722	659592	220516	901830	97.59	901830	73.14	300476	33.32	45.55	58.92	177035	2.96	8884	35.47	106582	38.36	115269	300476	9620	1
C145_C6_Martello_Polo_Day2_E8_C_30	C145	C6	experiment_2	DAY2	E8	C	30	SC	Day2_E8	26373	880018	351064	1257455	97.9	1257455	69.98	569321	45.28	64.69	55.31	314891	1.97	11199	40.19	228803	42.98	244719	569321	11754	1
C145_C7_Martello_Polo_Day2_E8_C_31	C145	C7	experiment_2	DAY2	E8	C	31	SC	Day2_E8	27148	883978	297672	1208798	97.75	1208798	73.13	457619	37.86	51.77	53.73	245887	2.81	12881	41.28	188890	44.35	202962	457619	11288	1
C145_C8_Martello_Polo_Day2_E8_C_32	C145	C8	experiment_2	DAY2	E8	C	32	SC	Day2_E8	15761	393848	190904	600513	97.38	600513	65.59	182485	30.39	46.33	71.56	130595	3.04	5543	21.48	39204	24.44	44603	182485	10779	1
C145_C9_Martello_Polo_Day2_E8_C_33	C145	C9	experiment_2	DAY2	E8	C	33	SC	Day2_E8	42792	1276168	439182	1758142	97.57	1758142	72.59	773976	44.02	60.65	53.54	414383	1.76	13630	42.3	327365	47.54	367917	773976	12473	1
C145_D1_Martello_Polo_Day2_E8_C_37	C145	D1	experiment_2	DAY2	E8	C	37	SC	Day2_E8	30965	394487	136104	561556	94.49	561556	70.25	218470	38.9	55.38	63.83	139447	2.24	4898	30.69	67052	33.88	74021	218470	8897	1
C145_D10_Martello_Polo_Day2_E8_C_46	C145	D10	experiment_2	DAY2	E8	C	46	SC	Day2_E8	22330	56891	6726	85947	74.02	85947	66.19	1747	2.03	3.07	74.36	1299	12.71	222	5.55	97	5.72	100	1747	763	1
C145_D11_Martello_Polo_Day2_E8_C_47	C145	D11	experiment_2	DAY2	E8	C	47	SC	Day2_E8	39140	1692685	604717	2336542	98.32	2336542	72.44	987088	42.25	58.31	59.9	591274	2.21	21863	35.47	350145	37.82	373357	987088	14326	1
C145_D12_Martello_Polo_Day2_E8_C_48	C145	D12	experiment_2	DAY2	E8	C	48	SC	Day2_E8	66461	885321	328393	1280175	94.81	1280175	69.16	454182	35.48	51.3	73.55	334050	2.91	13229	19.66	89271	22.16	100643	454182	11837	1
C145_D2_Martello_Polo_Day2_E8_C_38	C145	D2	experiment_2	DAY2	E8	C	38	SC	Day2_E8	31038	1234199	427633	1692870	98.17	1692870	72.91	718582	42.45	58.22	59.2	425417	2.28	16350	36.53	262513	38.6	277359	718582	12355	1
C145_D3_Martello_Polo_Day2_E8_C_39	C145	D3	experiment_2	DAY2	E8	C	39	SC	Day2_E8	28186	476411	462461	967058	97.09	967058	49.26	260849	26.97	54.75	14.12	36837	3.06	7973	81.65	212979	84.46	220310	260849	3800	1
C145_D4_Martello_Polo_Day2_E8_C_40	C145	D4	experiment_2	DAY2	E8	C	40	SC	Day2_E8	15444	478586	215755	709785	97.82	709785	67.43	237019	33.39	49.52	68.9	163299	3.09	7321	24.46	57966	27.67	65581	237019	11589	1
C145_D5_Martello_Polo_Day2_E8_C_41	C145	D5	experiment_2	DAY2	E8	C	41	SC	Day2_E8	18842	675619	312156	1006617	98.13	1006617	67.12	425426	42.26	62.97	60.33	256654	1.92	8159	34.52	146848	38.02	161733	425426	12027	1
C145_D6_Martello_Polo_Day2_E8_C_42	C145	D6	experiment_2	DAY2	E8	C	42	SC	Day2_E8	20125	591602	223528	835255	97.59	835255	70.83	316450	37.89	53.49	54.09	171176	2.31	7315	41.24	130509	45.32	143419	316450	10112	1
C145_D7_Martello_Polo_Day2_E8_C_43	C145	D7	experiment_2	DAY2	E8	C	43	SC	Day2_E8	19091	79026	8802	106919	82.14	106919	73.91	2584	2.42	3.27	77.79	2010	9.06	234	5.61	145	6.54	169	2584	1068	1
C145_D8_Martello_Polo_Day2_E8_C_44	C145	D8	experiment_2	DAY2	E8	C	44	SC	Day2_E8	12757	337765	169302	519824	97.55	519824	64.98	160386	30.85	47.48	65.99	105831	3.15	5056	26.95	43232	31.44	50433	160386	10034	1
C145_D9_Martello_Polo_Day2_E8_C_45	C145	D9	experiment_2	DAY2	E8	C	45	SC	Day2_E8	19632	554930	287927	862489	97.72	862489	64.34	283399	32.86	51.07	64.59	183050	2.88	8165	28.88	81838	31.83	90213	283399	11702	1
C145_E1_Martello_Polo_Day2_E8_C_49	C145	E1	experiment_2	DAY2	E8	C	49	SC	Day2_E8	42724	259289	173422	475435	91.01	475435	54.54	133124	28	51.34	80.38	107001	3.1	4128	11.42	15208	15.18	20202	133124	9838	1
C145_E10_Martello_Polo_Day2_E8_C_58	C145	E10	experiment_2	DAY2	E8	C	58	SC	Day2_E8	54314	1364344	696247	2114905	97.43	2114905	64.51	724429	34.25	53.1	74.48	539544	2.97	21517	19.02	137795	21.41	155101	724429	15524	1
C145_E11_Martello_Polo_Day2_E8_C_59	C145	E11	experiment_2	DAY2	E8	C	59	SC	Day2_E8	23936	804248	275134	1103318	97.83	1103318	72.89	379570	34.4	47.2	57.73	219112	2.61	9916	37.19	141175	40.56	153948	379570	10897	1
C145_E12_Martello_Polo_Day2_E8_C_60	C145	E12	experiment_2	DAY2	E8	C	60	SC	Day2_E8	114563	832034	338321	1284918	91.08	1284918	64.75	495248	38.54	59.52	67.2	332786	2.13	10557	27.1	134200	31.77	157364	495248	11513	1
C145_E2_Martello_Polo_Day2_E8_C_50	C145	E2	experiment_2	DAY2	E8	C	50	SC	Day2_E8	58581	1607770	699470	2365821	97.52	2365821	67.96	1059498	44.78	65.9	51.89	549755	1.71	18158	44.35	469885	47.07	498676	1059498	12930	1
C145_E3_Martello_Polo_Day2_E8_C_51	C145	E3	experiment_2	DAY2	E8	C	51	SC	Day2_E8	73654	879736	364918	1318308	94.41	1318308	66.73	434686	32.97	49.41	69.7	302960	3.34	14511	23.66	102865	27.98	121627	434686	11885	1
C145_E4_Martello_Polo_Day2_E8_C_52	C145	E4	experiment_2	DAY2	E8	C	52	SC	Day2_E8	84528	989819	365238	1439585	94.13	1439585	68.76	580653	40.33	58.66	50.07	290711	2.4	13956	45.67	265204	47.68	276866	580653	10566	1
C145_E5_Martello_Polo_Day2_E8_C_53	C145	E5	experiment_2	DAY2	E8	C	53	SC	Day2_E8	48515	813646	365552	1227713	96.05	1227713	66.27	358773	29.22	44.09	73.03	262004	3.62	12992	20.13	72225	22.54	80856	358773	14330	1
C145_E6_Martello_Polo_Day2_E8_C_54	C145	E6	experiment_2	DAY2	E8	C	54	SC	Day2_E8	34531	863426	446603	1344560	97.43	1344560	64.22	524679	39.02	60.77	53.94	283019	2.26	11862	41.17	215989	44.24	232116	524679	11843	1
C145_E7_Martello_Polo_Day2_E8_C_55	C145	E7	experiment_2	DAY2	E8	C	55	SC	Day2_E8	39875	899039	480239	1419153	97.19	1419153	63.35	548378	38.64	61	28.7	157410	1.76	9663	67.95	372627	73.69	404106	548378	8776	1
C145_E8_Martello_Polo_Day2_E8_C_56	C145	E8	experiment_2	DAY2	E8	C	56	SC	Day2_E8	15806	345547	195392	556745	97.16	556745	62.07	216371	38.86	62.62	58.65	126911	2.4	5202	35.86	77594	41.11	88954	216371	9279	1
C145_E9_Martello_Polo_Day2_E8_C_57	C145	E9	experiment_2	DAY2	E8	C	57	SC	Day2_E8	46632	115633	14395	176660	73.6	176660	65.46	3823	2.16	3.31	71.72	2742	14.15	541	5.6	214	5.91	226	3823	1275	1
C145_F1_Martello_Polo_Day2_E8_C_61	C145	F1	experiment_2	DAY2	E8	C	61	SC	Day2_E8	116861	714721	317589	1149171	89.83	1149171	62.19	385637	33.56	53.96	72.02	277721	2.42	9332	21.2	81757	28.11	108420	385637	12954	1
C145_F10_Martello_Polo_Day2_E8_C_70	C145	F10	experiment_2	DAY2	E8	C	70	SC	Day2_E8	127570	1785291	638902	2551763	95	2551763	69.96	958499	37.56	53.69	68.73	658793	2.34	22459	25.57	245051	29.68	284484	958499	13823	1
C145_F11_Martello_Polo_Day2_E8_C_71	C145	F11	experiment_2	DAY2	E8	C	71	SC	Day2_E8	41805	1304721	375914	1722440	97.57	1722440	75.75	587409	34.1	45.02	90.75	533063	3.84	22530	0.95	5559	1.05	6183	587409	12901	1
C145_F12_Martello_Polo_Day2_E8_C_72	C145	F12	experiment_2	DAY2	E8	C	72	SC	Day2_E8	23048	92802	50273	166123	86.13	166123	55.86	44752	26.94	48.22	65.66	29384	2.88	1291	28.4	12711	35.75	16001	44752	6637	1
C145_F2_Martello_Polo_Day2_E8_C_62	C145	F2	experiment_2	DAY2	E8	C	62	SC	Day2_E8	95324	3404882	1101162	4601368	97.93	4601368	74	2062127	44.82	60.56	55.96	1153887	1.75	35998	40.22	829459	43.36	894199	2062127	15014	1
C145_F3_Martello_Polo_Day2_E8_C_63	C145	F3	experiment_2	DAY2	E8	C	63	SC	Day2_E8	138096	2008317	686520	2832933	95.13	2832933	70.89	1191773	42.07	59.34	49.59	590958	1.81	21592	45.91	547202	49.76	593052	1191773	11252	1
C145_F4_Martello_Polo_Day2_E8_C_64	C145	F4	experiment_2	DAY2	E8	C	64	SC	Day2_E8	19507	530513	246118	796138	97.55	796138	66.64	273361	34.34	51.53	57.38	156841	2.83	7744	37.04	101240	39.73	108606	273361	10469	1
C145_F5_Martello_Polo_Day2_E8_C_65	C145	F5	experiment_2	DAY2	E8	C	65	SC	Day2_E8	30718	109306	21395	161419	80.97	161419	67.72	4424	2.74	4.05	69.91	3093	19.12	846	1.51	67	1.7	75	4424	1886	1
C145_F6_Martello_Polo_Day2_E8_C_66	C145	F6	experiment_2	DAY2	E8	C	66	SC	Day2_E8	29629	93466	18873	141968	79.13	141968	65.84	4482	3.16	4.8	67.51	3026	18.99	851	3.1	139	3.44	154	4482	1979	1
C145_F7_Martello_Polo_Day2_E8_C_67	C145	F7	experiment_2	DAY2	E8	C	67	SC	Day2_E8	50966	1446228	607339	2104533	97.58	2104533	68.72	961670	45.7	66.5	56.59	544225	1.75	16803	38.85	373600	42.92	412713	961670	12685	1
C145_F8_Martello_Polo_Day2_E8_C_68	C145	F8	experiment_2	DAY2	E8	C	68	SC	Day2_E8	13975	44609	6093	64677	78.39	64677	68.97	2123	3.28	4.76	65.94	1400	11.82	251	15.21	323	16.06	341	2123	1205	1
C145_F9_Martello_Polo_Day2_E8_C_69	C145	F9	experiment_2	DAY2	E8	C	69	SC	Day2_E8	19994	591837	144497	756328	97.36	756328	78.25	235891	31.19	39.86	52.21	123150	3.22	7589	42.34	99882	50.59	119338	235891	9168	1
C145_G1_Martello_Polo_Day2_E8_C_73	C145	G1	experiment_2	DAY2	E8	C	73	SC	Day2_E8	1991	3229	1273	6493	69.34	6493	49.73	1399	21.55	43.33	77.77	1088	2.64	37	14.15	198	22.8	319	1399	772	1
C145_G10_Martello_Polo_Day2_E8_C_82	C145	G10	experiment_2	DAY2	E8	C	82	SC	Day2_E8	68003	598413	333165	999581	93.2	999581	59.87	424224	42.44	70.89	69.41	294466	2.16	9149	24.7	104799	34.71	147229	424224	10313	1
C145_G11_Martello_Polo_Day2_E8_C_83	C145	G11	experiment_2	DAY2	E8	C	83	SC	Day2_E8	9180	53120	31612	93912	90.22	93912	56.56	26922	28.67	50.68	78.6	21161	2.34	630	13.93	3751	17.51	4715	26922	5488	1
C145_G12_Martello_Polo_Day2_E8_C_84	C145	G12	experiment_2	DAY2	E8	C	84	SC	Day2_E8	2836	748	132	3716	23.68	3716	20.13	108	2.91	14.44	48.15	52	5.56	6	40.74	44	43.52	47	108	63	1
C145_G2_Martello_Polo_Day2_E8_C_74	C145	G2	experiment_2	DAY2	E8	C	74	SC	Day2_E8	243040	1716570	806966	2766576	91.22	2766576	62.05	981723	35.49	57.19	79.2	777572	2.44	23990	14.01	137582	19.66	193006	981723	16071	1
C145_G3_Martello_Polo_Day2_E8_C_75	C145	G3	experiment_2	DAY2	E8	C	75	SC	Day2_E8	1355	811	251	2417	43.94	2417	33.55	235	9.72	28.98	47.66	112	5.96	14	43.4	102	46.38	109	235	120	1
C145_G4_Martello_Polo_Day2_E8_C_76	C145	G4	experiment_2	DAY2	E8	C	76	SC	Day2_E8	43146	366098	261280	670524	93.57	670524	54.6	155798	23.24	42.56	84.9	132275	6.14	9567	2.88	4481	3.39	5280	155798	11936	1
C145_G5_Martello_Polo_Day2_E8_C_77	C145	G5	experiment_2	DAY2	E8	C	77	SC	Day2_E8	19174	145194	103202	267570	92.83	267570	54.26	59473	22.23	40.96	74.42	44260	4.5	2674	16.17	9614	20.62	12266	59473	7736	1
C145_G6_Martello_Polo_Day2_E8_C_78	C145	G6	experiment_2	DAY2	E8	C	78	SC	Day2_E8	16195	71265	85384	172844	90.63	172844	41.23	18923	10.95	26.55	73.99	14002	7.21	1365	14.22	2691	19.46	3682	18923	4061	1
C145_G7_Martello_Polo_Day2_E8_C_79	C145	G7	experiment_2	DAY2	E8	C	79	SC	Day2_E8	22531	213790	138454	374775	93.99	374775	57.04	102082	27.24	47.75	77.95	79568	3.97	4055	13.02	13292	17.23	17593	102082	8862	1
C145_G8_Martello_Polo_Day2_E8_C_80	C145	G8	experiment_2	DAY2	E8	C	80	SC	Day2_E8	51642	187331	153679	392652	86.85	392652	47.71	64094	16.32	34.21	33.16	21253	5.55	3557	58.52	37507	67.06	42979	64094	4025	1
C145_G9_Martello_Polo_Day2_E8_C_81	C145	G9	experiment_2	DAY2	E8	C	81	SC	Day2_E8	39737	715212	284210	1039159	96.18	1039159	68.83	387907	37.33	54.24	69.59	269952	2.55	9889	23.72	92008	28.23	109511	387907	12120	1
C145_H1_Martello_Polo_Day2_E8_C_85	C145	H1	experiment_2	DAY2	E8	C	85	SC	Day2_E8	2274	512	59	2845	20.07	2845	18	67	2.36	13.09	50.75	34	10.45	7	34.33	23	34.33	23	67	45	1
C145_H10_Martello_Polo_Day2_E8_C_94	C145	H10	experiment_2	DAY2	E8	C	94	SC	Day2_E8	2685	25890	7733	36308	92.6	36308	71.31	12174	33.53	47.02	78.84	9598	2.99	364	13	1583	18.82	2291	12174	3230	1
C145_H11_Martello_Polo_Day2_E8_C_95	C145	H11	experiment_2	DAY2	E8	C	95	SC	Day2_E8	1425	10389	1527	13341	89.32	13341	77.87	6065	45.46	58.38	73.59	4463	4.07	247	18.25	1107	22.11	1341	6065	1069	1
C145_H12_Martello_Polo_Day2_E8_C_96_MINIBULK	C145	H12	experiment_2	DAY2	E8	C	96	MINIBULK	Day2_E8	1161	2169	535	3865	69.96	3865	56.12	291	7.53	13.42	69.07	201	9.62	28	11	32	15.46	45	291	236	1
C145_H2_Martello_Polo_Day2_E8_C_86	C145	H2	experiment_2	DAY2	E8	C	86	SC	Day2_E8	2017	5629	2556	10202	80.23	10202	55.18	2610	25.58	46.37	80.84	2110	2.95	77	10.69	279	17.36	453	2610	1300	1
C145_H3_Martello_Polo_Day2_E8_C_87	C145	H3	experiment_2	DAY2	E8	C	87	SC	Day2_E8	233836	3836833	1514982	5585651	95.81	5585651	68.69	2395002	42.88	62.42	68.5	1640588	1.99	47762	26.01	623004	30.03	719287	2395002	16353	1
C145_H4_Martello_Polo_Day2_E8_C_88	C145	H4	experiment_2	DAY2	E8	C	88	SC	Day2_E8	1567	1516	525	3608	56.57	3608	42.02	493	13.66	32.52	65.31	322	3.65	18	26.77	132	30.63	151	493	292	1
C145_H5_Martello_Polo_Day2_E8_C_89	C145	H5	experiment_2	DAY2	E8	C	89	SC	Day2_E8	2558	12185	6834	21577	88.14	21577	56.47	6491	30.08	53.27	83.55	5423	1.88	122	9.86	640	13.99	908	6491	2416	1
C145_H6_Martello_Polo_Day2_E8_C_90	C145	H6	experiment_2	DAY2	E8	C	90	SC	Day2_E8	1273	452	150	1875	32.11	1875	24.11	109	5.81	24.12	64.22	70	3.67	4	24.77	27	29.36	32	109	79	1
C145_H7_Martello_Polo_Day2_E8_C_91	C145	H7	experiment_2	DAY2	E8	C	91	SC	Day2_E8	3126	9207	4439	16772	81.36	16772	54.9	4362	26.01	47.38	78.95	3444	2.77	121	13.16	574	17.63	769	4362	1882	1
C145_H8_Martello_Polo_Day2_E8_C_92	C145	H8	experiment_2	DAY2	E8	C	92	SC	Day2_E8	1041	2675	584	4300	75.79	4300	62.21	611	14.21	22.84	22.91	140	3.11	19	72.18	441	73.49	449	611	130	1
C145_H9_Martello_Polo_Day2_E8_C_93	C145	H9	experiment_2	DAY2	E8	C	93	SC	Day2_E8	33683	435084	223241	692008	95.13	692008	62.87	209631	30.29	48.18	78.65	164871	4.42	9265	11.67	24461	16.05	33636	209631	11144	1
C147_A1_Martello_Polo_Day2_E8_C_1_EMPTY	C147	A1	experiment_2	DAY2	E8	C	1	EMPTY	Day2_E8	487670	123766	15594	627030	22.23	627030	19.74	7544	1.2	6.1	76.06	5738	15.14	1142	0.07	5	0.21	16	7544	1690	1
C147_A10_Martello_Polo_Day2_E8_C_10	C147	A10	experiment_2	DAY2	E8	C	10	SC	Day2_E8	103955	166893	54947	325795	68.09	325795	51.23	31532	9.68	18.89	32.05	10106	4.72	1489	60.76	19160	62.29	19641	31532	2388	1
C147_A11_Martello_Polo_Day2_E8_C_11	C147	A11	experiment_2	DAY2	E8	C	11	SC	Day2_E8	64758	172708	69227	306693	78.89	306693	56.31	50786	16.56	29.41	32.51	16509	2.96	1504	63.31	32154	63.9	32454	50786	3333	1
C147_A12_Martello_Polo_Day2_E8_C_12	C147	A12	experiment_2	DAY2	E8	C	12	SC	Day2_E8	45	79	53	177	74.58	177	44.63	19	10.73	24.05	73.68	14	5.26	1	5.26	1	5.26	1	19	17	1
C147_A2_Martello_Polo_Day2_E8_C_2	C147	A2	experiment_2	DAY2	E8	C	2	SC	Day2_E8	378954	130799	32284	542037	30.09	542037	24.13	9316	1.72	7.12	40.12	3738	10.4	969	43.88	4088	45.43	4232	9316	1310	1
C147_A3_Martello_Polo_Day2_E8_C_3	C147	A3	experiment_2	DAY2	E8	C	3	SC	Day2_E8	71556	143410	48477	263443	72.84	263443	54.44	20675	7.85	14.42	75.54	15618	7.82	1617	13.14	2717	13.52	2795	20675	3307	1
C147_A4_Martello_Polo_Day2_E8_C_4	C147	A4	experiment_2	DAY2	E8	C	4	SC	Day2_E8	77548	122464	48276	248288	68.77	248288	49.32	26777	10.78	21.87	43.04	11526	3.39	909	51.27	13729	52.08	13946	26777	2634	1
C147_A5_Martello_Polo_Day2_E8_C_5	C147	A5	experiment_2	DAY2	E8	C	5	SC	Day2_E8	33991	133885	38334	206210	83.52	206210	64.93	34970	16.96	26.12	19.34	6763	2.12	742	77.07	26950	78.07	27302	34970	1829	1
C147_A6_Martello_Polo_Day2_E8_C_6	C147	A6	experiment_2	DAY2	E8	C	6	SC	Day2_E8	9895	71859	31860	113614	91.29	113614	63.25	12831	11.29	17.86	49.08	6298	4.99	640	44.13	5662	44.63	5727	12831	2674	1
C147_A7_Martello_Polo_Day2_E8_C_7	C147	A7	experiment_2	DAY2	E8	C	7	SC	Day2_E8	69321	107252	89739	266312	73.97	266312	40.27	19602	7.36	18.28	38.37	7522	7.63	1495	51.34	10064	51.92	10178	19602	2727	1
C147_A8_Martello_Polo_Day2_E8_C_8	C147	A8	experiment_2	DAY2	E8	C	8	SC	Day2_E8	11667	88131	55136	154934	92.47	154934	56.88	18964	12.24	21.52	52.35	9928	5.24	993	40.54	7688	41.3	7833	18964	3752	1
C147_A9_Martello_Polo_Day2_E8_C_9	C147	A9	experiment_2	DAY2	E8	C	9	SC	Day2_E8	19700	91522	24482	135704	85.48	135704	67.44	12409	9.14	13.56	33.79	4193	3.74	464	60.38	7493	60.92	7559	12409	1599	1
C147_B1_Martello_Polo_Day2_E8_C_13	C147	B1	experiment_2	DAY2	E8	C	13	SC	Day2_E8	468062	125516	34885	628463	25.52	628463	19.97	18147	2.89	14.46	66.84	12130	8.37	1518	20.23	3671	21.77	3951	18147	3375	1
C147_B10_Martello_Polo_Day2_E8_C_22	C147	B10	experiment_2	DAY2	E8	C	22	SC	Day2_E8	268528	196343	99699	564570	52.44	564570	34.78	53630	9.5	27.31	36.08	19349	3.84	2061	58.13	31174	59.56	31941	53630	3997	1
