Sample	Plate	Well	Experiment	Time	Treatment	Replicate	CellNumID	WellType	TimeTreatment
C142_E12_Martello_Polo_Day0_H9_E8_60	C142	E12	experiment_2	DAY0	E8	H9	60	SC	Day0_E8
C142_E2_Martello_Polo_Day0_H9_E8_50	C142	E2	experiment_2	DAY0	E8	H9	50	SC	Day0_E8
C142_E3_Martello_Polo_Day0_H9_E8_51	C142	E3	experiment_2	DAY0	E8	H9	51	SC	Day0_E8
C142_E4_Martello_Polo_Day0_H9_E8_52	C142	E4	experiment_2	DAY0	E8	H9	52	SC	Day0_E8
C142_E5_Martello_Polo_Day0_H9_E8_53	C142	E5	experiment_2	DAY0	E8	H9	53	SC	Day0_E8
C142_E6_Martello_Polo_Day0_H9_E8_54	C142	E6	experiment_2	DAY0	E8	H9	54	SC	Day0_E8
C142_E7_Martello_Polo_Day0_H9_E8_55	C142	E7	experiment_2	DAY0	E8	H9	55	SC	Day0_E8
C142_E8_Martello_Polo_Day0_H9_E8_56	C142	E8	experiment_2	DAY0	E8	H9	56	SC	Day0_E8
C142_E9_Martello_Polo_Day0_H9_E8_57	C142	E9	experiment_2	DAY0	E8	H9	57	SC	Day0_E8
C142_F1_Martello_Polo_Day0_H9_E8_61	C142	F1	experiment_2	DAY0	E8	H9	61	SC	Day0_E8
C142_F10_Martello_Polo_Day0_H9_E8_70	C142	F10	experiment_2	DAY0	E8	H9	70	SC	Day0_E8
C142_F11_Martello_Polo_Day0_H9_E8_71	C142	F11	experiment_2	DAY0	E8	H9	71	SC	Day0_E8
C142_F12_Martello_Polo_Day0_H9_E8_72	C142	F12	experiment_2	DAY0	E8	H9	72	SC	Day0_E8
C142_F2_Martello_Polo_Day0_H9_E8_62	C142	F2	experiment_2	DAY0	E8	H9	62	SC	Day0_E8
C142_F3_Martello_Polo_Day0_H9_E8_63	C142	F3	experiment_2	DAY0	E8	H9	63	SC	Day0_E8
C142_F4_Martello_Polo_Day0_H9_E8_64	C142	F4	experiment_2	DAY0	E8	H9	64	SC	Day0_E8
C142_F5_Martello_Polo_Day0_H9_E8_65	C142	F5	experiment_2	DAY0	E8	H9	65	SC	Day0_E8
C142_F6_Martello_Polo_Day0_H9_E8_66	C142	F6	experiment_2	DAY0	E8	H9	66	SC	Day0_E8
C142_F7_Martello_Polo_Day0_H9_E8_67	C142	F7	experiment_2	DAY0	E8	H9	67	SC	Day0_E8
C142_F8_Martello_Polo_Day0_H9_E8_68	C142	F8	experiment_2	DAY0	E8	H9	68	SC	Day0_E8
C142_F9_Martello_Polo_Day0_H9_E8_69	C142	F9	experiment_2	DAY0	E8	H9	69	SC	Day0_E8
C142_G1_Martello_Polo_Day0_H9_E8_73	C142	G1	experiment_2	DAY0	E8	H9	73	SC	Day0_E8
C142_G10_Martello_Polo_Day0_H9_E8_82	C142	G10	experiment_2	DAY0	E8	H9	82	SC	Day0_E8
C142_G11_Martello_Polo_Day0_H9_E8_83	C142	G11	experiment_2	DAY0	E8	H9	83	SC	Day0_E8
C142_G12_Martello_Polo_Day0_H9_E8_84	C142	G12	experiment_2	DAY0	E8	H9	84	SC	Day0_E8
C142_G2_Martello_Polo_Day0_H9_E8_74	C142	G2	experiment_2	DAY0	E8	H9	74	SC	Day0_E8
C142_G3_Martello_Polo_Day0_H9_E8_75	C142	G3	experiment_2	DAY0	E8	H9	75	SC	Day0_E8
C142_G4_Martello_Polo_Day0_H9_E8_76	C142	G4	experiment_2	DAY0	E8	H9	76	SC	Day0_E8
C142_G5_Martello_Polo_Day0_H9_E8_77	C142	G5	experiment_2	DAY0	E8	H9	77	SC	Day0_E8
C142_G6_Martello_Polo_Day0_H9_E8_78	C142	G6	experiment_2	DAY0	E8	H9	78	SC	Day0_E8
C142_G7_Martello_Polo_Day0_H9_E8_79	C142	G7	experiment_2	DAY0	E8	H9	79	SC	Day0_E8
C142_G8_Martello_Polo_Day0_H9_E8_80	C142	G8	experiment_2	DAY0	E8	H9	80	SC	Day0_E8
C142_G9_Martello_Polo_Day0_H9_E8_81	C142	G9	experiment_2	DAY0	E8	H9	81	SC	Day0_E8
C142_H1_Martello_Polo_Day0_H9_E8_85	C142	H1	experiment_2	DAY0	E8	H9	85	SC	Day0_E8
C142_H10_Martello_Polo_Day0_H9_E8_94	C142	H10	experiment_2	DAY0	E8	H9	94	SC	Day0_E8
C142_H11_Martello_Polo_Day0_H9_E8_95	C142	H11	experiment_2	DAY0	E8	H9	95	SC	Day0_E8
C142_H12_Martello_Polo_Day0_H9_E8_96_MINIBULK	C142	H12	experiment_2	DAY0	E8	H9	96	MINIBULK	Day0_E8
C142_H2_Martello_Polo_Day0_H9_E8_86	C142	H2	experiment_2	DAY0	E8	H9	86	SC	Day0_E8
C142_H3_Martello_Polo_Day0_H9_E8_87	C142	H3	experiment_2	DAY0	E8	H9	87	SC	Day0_E8
C142_H4_Martello_Polo_Day0_H9_E8_88	C142	H4	experiment_2	DAY0	E8	H9	88	SC	Day0_E8
C142_H5_Martello_Polo_Day0_H9_E8_89	C142	H5	experiment_2	DAY0	E8	H9	89	SC	Day0_E8
