Sample	Plate	Well	Experiment	Time	Treatment	Replicate	CellNumID	WellType	TimeTreatment
C147_D11_Martello_Polo_Day2_E8_C_47	C147	D11	experiment_2	DAY2	E8	C	47	SC	Day2_E8
C147_D12_Martello_Polo_Day2_E8_C_48	C147	D12	experiment_2	DAY2	E8	C	48	SC	Day2_E8
C147_D2_Martello_Polo_Day2_E8_C_38	C147	D2	experiment_2	DAY2	E8	C	38	SC	Day2_E8
C147_D3_Martello_Polo_Day2_E8_C_39	C147	D3	experiment_2	DAY2	E8	C	39	SC	Day2_E8
C147_D4_Martello_Polo_Day2_E8_C_40	C147	D4	experiment_2	DAY2	E8	C	40	SC	Day2_E8
C147_D5_Martello_Polo_Day2_E8_C_41	C147	D5	experiment_2	DAY2	E8	C	41	SC	Day2_E8
C147_D6_Martello_Polo_Day2_E8_C_42	C147	D6	experiment_2	DAY2	E8	C	42	SC	Day2_E8
C147_D7_Martello_Polo_Day2_E8_C_43	C147	D7	experiment_2	DAY2	E8	C	43	SC	Day2_E8
C147_D8_Martello_Polo_Day2_E8_C_44	C147	D8	experiment_2	DAY2	E8	C	44	SC	Day2_E8
C147_D9_Martello_Polo_Day2_E8_C_45	C147	D9	experiment_2	DAY2	E8	C	45	SC	Day2_E8
C147_E1_Martello_Polo_Day2_E8_C_49	C147	E1	experiment_2	DAY2	E8	C	49	SC	Day2_E8
C147_E10_Martello_Polo_Day2_E8_C_58	C147	E10	experiment_2	DAY2	E8	C	58	SC	Day2_E8
C147_E11_Martello_Polo_Day2_E8_C_59	C147	E11	experiment_2	DAY2	E8	C	59	SC	Day2_E8
C147_E12_Martello_Polo_Day2_E8_C_60	C147	E12	experiment_2	DAY2	E8	C	60	SC	Day2_E8
C147_E2_Martello_Polo_Day2_E8_C_50	C147	E2	experiment_2	DAY2	E8	C	50	SC	Day2_E8
C147_E3_Martello_Polo_Day2_E8_C_51	C147	E3	experiment_2	DAY2	E8	C	51	SC	Day2_E8
C147_E4_Martello_Polo_Day2_E8_C_52	C147	E4	experiment_2	DAY2	E8	C	52	SC	Day2_E8
C147_E5_Martello_Polo_Day2_E8_C_53	C147	E5	experiment_2	DAY2	E8	C	53	SC	Day2_E8
C147_E6_Martello_Polo_Day2_E8_C_54	C147	E6	experiment_2	DAY2	E8	C	54	SC	Day2_E8
C147_E7_Martello_Polo_Day2_E8_C_55	C147	E7	experiment_2	DAY2	E8	C	55	SC	Day2_E8
C147_E8_Martello_Polo_Day2_E8_C_56	C147	E8	experiment_2	DAY2	E8	C	56	SC	Day2_E8
C147_E9_Martello_Polo_Day2_E8_C_57	C147	E9	experiment_2	DAY2	E8	C	57	SC	Day2_E8
C147_F1_Martello_Polo_Day2_E8_C_61	C147	F1	experiment_2	DAY2	E8	C	61	SC	Day2_E8
C147_F10_Martello_Polo_Day2_E8_C_70	C147	F10	experiment_2	DAY2	E8	C	70	SC	Day2_E8
C147_F11_Martello_Polo_Day2_E8_C_71	C147	F11	experiment_2	DAY2	E8	C	71	SC	Day2_E8
C147_F12_Martello_Polo_Day2_E8_C_72	C147	F12	experiment_2	DAY2	E8	C	72	SC	Day2_E8
C147_F2_Martello_Polo_Day2_E8_C_62	C147	F2	experiment_2	DAY2	E8	C	62	SC	Day2_E8
C147_F3_Martello_Polo_Day2_E8_C_63	C147	F3	experiment_2	DAY2	E8	C	63	SC	Day2_E8
C147_F4_Martello_Polo_Day2_E8_C_64	C147	F4	experiment_2	DAY2	E8	C	64	SC	Day2_E8
C147_F5_Martello_Polo_Day2_E8_C_65	C147	F5	experiment_2	DAY2	E8	C	65	SC	Day2_E8
C147_F6_Martello_Polo_Day2_E8_C_66	C147	F6	experiment_2	DAY2	E8	C	66	SC	Day2_E8
C147_F7_Martello_Polo_Day2_E8_C_67	C147	F7	experiment_2	DAY2	E8	C	67	SC	Day2_E8
C147_F8_Martello_Polo_Day2_E8_C_68	C147	F8	experiment_2	DAY2	E8	C	68	SC	Day2_E8
C147_F9_Martello_Polo_Day2_E8_C_69	C147	F9	experiment_2	DAY2	E8	C	69	SC	Day2_E8
C147_G1_Martello_Polo_Day2_E8_C_73	C147	G1	experiment_2	DAY2	E8	C	73	SC	Day2_E8
C147_G10_Martello_Polo_Day2_E8_C_82	C147	G10	experiment_2	DAY2	E8	C	82	SC	Day2_E8
C147_G11_Martello_Polo_Day2_E8_C_83	C147	G11	experiment_2	DAY2	E8	C	83	SC	Day2_E8
C147_G12_Martello_Polo_Day2_E8_C_84	C147	G12	experiment_2	DAY2	E8	C	84	SC	Day2_E8
C147_G2_Martello_Polo_Day2_E8_C_74	C147	G2	experiment_2	DAY2	E8	C	74	SC	Day2_E8
C147_G3_Martello_Polo_Day2_E8_C_75	C147	G3	experiment_2	DAY2	E8	C	75	SC	Day2_E8
C147_G4_Martello_Polo_Day2_E8_C_76	C147	G4	experiment_2	DAY2	E8	C	76	SC	Day2_E8
C147_G5_Martello_Polo_Day2_E8_C_77	C147	G5	experiment_2	DAY2	E8	C	77	SC	Day2_E8
C147_G6_Martello_Polo_Day2_E8_C_78	C147	G6	experiment_2	DAY2	E8	C	78	SC	Day2_E8
C147_G7_Martello_Polo_Day2_E8_C_79	C147	G7	experiment_2	DAY2	E8	C	79	SC	Day2_E8
C147_G8_Martello_Polo_Day2_E8_C_80	C147	G8	experiment_2	DAY2	E8	C	80	SC	Day2_E8
C147_G9_Martello_Polo_Day2_E8_C_81	C147	G9	experiment_2	DAY2	E8	C	81	SC	Day2_E8
C147_H1_Martello_Polo_Day2_E8_C_85	C147	H1	experiment_2	DAY2	E8	C	85	SC	Day2_E8
C147_H10_Martello_Polo_Day2_E8_C_94	C147	H10	experiment_2	DAY2	E8	C	94	SC	Day2_E8
C147_H11_Martello_Polo_Day2_E8_C_95	C147	H11	experiment_2	DAY2	E8	C	95	SC	Day2_E8
C147_H12_Martello_Polo_Day2_E8_C_96_MINIBULK	C147	H12	experiment_2	DAY2	E8	C	96	MINIBULK	Day2_E8
C147_H2_Martello_Polo_Day2_E8_C_86	C147	H2	experiment_2	DAY2	E8	C	86	SC	Day2_E8
C147_H3_Martello_Polo_Day2_E8_C_87	C147	H3	experiment_2	DAY2	E8	C	87	SC	Day2_E8
C147_H4_Martello_Polo_Day2_E8_C_88	C147	H4	experiment_2	DAY2	E8	C	88	SC	Day2_E8
C147_H5_Martello_Polo_Day2_E8_C_89	C147	H5	experiment_2	DAY2	E8	C	89	SC	Day2_E8
C147_H6_Martello_Polo_Day2_E8_C_90	C147	H6	experiment_2	DAY2	E8	C	90	SC	Day2_E8
C147_H7_Martello_Polo_Day2_E8_C_91	C147	H7	experiment_2	DAY2	E8	C	91	SC	Day2_E8
C147_H8_Martello_Polo_Day2_E8_C_92	C147	H8	experiment_2	DAY2	E8	C	92	SC	Day2_E8
C147_H9_Martello_Polo_Day2_E8_C_93	C147	H9	experiment_2	DAY2	E8	C	93	SC	Day2_E8
C153_A1_Martello_Polo_Day4_E8_F_1_EMPTY	C153	A1	experiment_2	DAY4	E8	F	1	EMPTY	Day4_E8
C153_A10_Martello_Polo_Day4_E8_F_10	C153	A10	experiment_2	DAY4	E8	F	10	SC	Day4_E8
C153_A11_Martello_Polo_Day4_E8_F_11	C153	A11	experiment_2	DAY4	E8	F	11	SC	Day4_E8
C153_A12_Martello_Polo_Day4_E8_F_12	C153	A12	experiment_2	DAY4	E8	F	12	SC	Day4_E8
C153_A2_Martello_Polo_Day4_E8_F_2	C153	A2	experiment_2	DAY4	E8	F	2	SC	Day4_E8
C153_A3_Martello_Polo_Day4_E8_F_3	C153	A3	experiment_2	DAY4	E8	F	3	SC	Day4_E8
C153_A4_Martello_Polo_Day4_E8_F_4	C153	A4	experiment_2	DAY4	E8	F	4	SC	Day4_E8
C153_A5_Martello_Polo_Day4_E8_F_5	C153	A5	experiment_2	DAY4	E8	F	5	SC	Day4_E8
C153_A6_Martello_Polo_Day4_E8_F_6	C153	A6	experiment_2	DAY4	E8	F	6	SC	Day4_E8
C153_A7_Martello_Polo_Day4_E8_F_7	C153	A7	experiment_2	DAY4	E8	F	7	SC	Day4_E8
C153_A8_Martello_Polo_Day4_E8_F_8	C153	A8	experiment_2	DAY4	E8	F	8	SC	Day4_E8
C153_A9_Martello_Polo_Day4_E8_F_9	C153	A9	experiment_2	DAY4	E8	F	9	SC	Day4_E8
C153_B1_Martello_Polo_Day4_E8_F_13	C153	B1	experiment_2	DAY4	E8	F	13	SC	Day4_E8
C153_B10_Martello_Polo_Day4_E8_F_22	C153	B10	experiment_2	DAY4	E8	F	22	SC	Day4_E8
C153_B11_Martello_Polo_Day4_E8_F_23	C153	B11	experiment_2	DAY4	E8	F	23	SC	Day4_E8
C153_B12_Martello_Polo_Day4_E8_F_24	C153	B12	experiment_2	DAY4	E8	F	24	SC	Day4_E8
C153_B2_Martello_Polo_Day4_E8_F_14	C153	B2	experiment_2	DAY4	E8	F	14	SC	Day4_E8
C153_B3_Martello_Polo_Day4_E8_F_15	C153	B3	experiment_2	DAY4	E8	F	15	SC	Day4_E8
C153_B4_Martello_Polo_Day4_E8_F_16	C153	B4	experiment_2	DAY4	E8	F	16	SC	Day4_E8
C153_B5_Martello_Polo_Day4_E8_F_17	C153	B5	experiment_2	DAY4	E8	F	17	SC	Day4_E8
C153_B6_Martello_Polo_Day4_E8_F_18	C153	B6	experiment_2	DAY4	E8	F	18	SC	Day4_E8
C153_B7_Martello_Polo_Day4_E8_F_19	C153	B7	experiment_2	DAY4	E8	F	19	SC	Day4_E8
C153_B8_Martello_Polo_Day4_E8_F_20	C153	B8	experiment_2	DAY4	E8	F	20	SC	Day4_E8
C153_B9_Martello_Polo_Day4_E8_F_21	C153	B9	experiment_2	DAY4	E8	F	21	SC	Day4_E8
C153_C1_Martello_Polo_Day4_E8_F_25	C153	C1	experiment_2	DAY4	E8	F	25	SC	Day4_E8
C153_C10_Martello_Polo_Day4_E8_F_34	C153	C10	experiment_2	DAY4	E8	F	34	SC	Day4_E8
C153_C11_Martello_Polo_Day4_E8_F_35	C153	C11	experiment_2	DAY4	E8	F	35	SC	Day4_E8
C153_C12_Martello_Polo_Day4_E8_F_36	C153	C12	experiment_2	DAY4	E8	F	36	SC	Day4_E8
C153_C2_Martello_Polo_Day4_E8_F_26	C153	C2	experiment_2	DAY4	E8	F	26	SC	Day4_E8
C153_C3_Martello_Polo_Day4_E8_F_27	C153	C3	experiment_2	DAY4	E8	F	27	SC	Day4_E8
C153_C4_Martello_Polo_Day4_E8_F_28	C153	C4	experiment_2	DAY4	E8	F	28	SC	Day4_E8
C153_C5_Martello_Polo_Day4_E8_F_29	C153	C5	experiment_2	DAY4	E8	F	29	SC	Day4_E8
C153_C6_Martello_Polo_Day4_E8_F_30	C153	C6	experiment_2	DAY4	E8	F	30	SC	Day4_E8
C153_C7_Martello_Polo_Day4_E8_F_31	C153	C7	experiment_2	DAY4	E8	F	31	SC	Day4_E8
C153_C8_Martello_Polo_Day4_E8_F_32	C153	C8	experiment_2	DAY4	E8	F	32	SC	Day4_E8
C153_C9_Martello_Polo_Day4_E8_F_33	C153	C9	experiment_2	DAY4	E8	F	33	SC	Day4_E8
C153_D1_Martello_Polo_Day4_E8_F_37	C153	D1	experiment_2	DAY4	E8	F	37	SC	Day4_E8
C153_D10_Martello_Polo_Day4_E8_F_46	C153	D10	experiment_2	DAY4	E8	F	46	SC	Day4_E8
C153_D11_Martello_Polo_Day4_E8_F_47	C153	D11	experiment_2	DAY4	E8	F	47	SC	Day4_E8
C153_D12_Martello_Polo_Day4_E8_F_48	C153	D12	experiment_2	DAY4	E8	F	48	SC	Day4_E8
C153_D2_Martello_Polo_Day4_E8_F_38	C153	D2	experiment_2	DAY4	E8	F	38	SC	Day4_E8
C153_D3_Martello_Polo_Day4_E8_F_39	C153	D3	experiment_2	DAY4	E8	F	39	SC	Day4_E8
C153_D4_Martello_Polo_Day4_E8_F_40	C153	D4	experiment_2	DAY4	E8	F	40	SC	Day4_E8
C153_D5_Martello_Polo_Day4_E8_F_41	C153	D5	experiment_2	DAY4	E8	F	41	SC	Day4_E8
C153_D6_Martello_Polo_Day4_E8_F_42	C153	D6	experiment_2	DAY4	E8	F	42	SC	Day4_E8
C153_D7_Martello_Polo_Day4_E8_F_43	C153	D7	experiment_2	DAY4	E8	F	43	SC	Day4_E8
C153_D8_Martello_Polo_Day4_E8_F_44	C153	D8	experiment_2	DAY4	E8	F	44	SC	Day4_E8
C153_D9_Martello_Polo_Day4_E8_F_45	C153	D9	experiment_2	DAY4	E8	F	45	SC	Day4_E8
C153_E1_Martello_Polo_Day4_E8_F_49	C153	E1	experiment_2	DAY4	E8	F	49	SC	Day4_E8
C153_E10_Martello_Polo_Day4_E8_F_58	C153	E10	experiment_2	DAY4	E8	F	58	SC	Day4_E8
C153_E11_Martello_Polo_Day4_E8_F_59	C153	E11	experiment_2	DAY4	E8	F	59	SC	Day4_E8
C153_E12_Martello_Polo_Day4_E8_F_60	C153	E12	experiment_2	DAY4	E8	F	60	SC	Day4_E8
C153_E2_Martello_Polo_Day4_E8_F_50	C153	E2	experiment_2	DAY4	E8	F	50	SC	Day4_E8
C153_E3_Martello_Polo_Day4_E8_F_51	C153	E3	experiment_2	DAY4	E8	F	51	SC	Day4_E8
C153_E4_Martello_Polo_Day4_E8_F_52	C153	E4	experiment_2	DAY4	E8	F	52	SC	Day4_E8
C153_E5_Martello_Polo_Day4_E8_F_53	C153	E5	experiment_2	DAY4	E8	F	53	SC	Day4_E8
C153_E6_Martello_Polo_Day4_E8_F_54	C153	E6	experiment_2	DAY4	E8	F	54	SC	Day4_E8
C153_E7_Martello_Polo_Day4_E8_F_55	C153	E7	experiment_2	DAY4	E8	F	55	SC	Day4_E8
C153_E8_Martello_Polo_Day4_E8_F_56	C153	E8	experiment_2	DAY4	E8	F	56	SC	Day4_E8
C153_E9_Martello_Polo_Day4_E8_F_57	C153	E9	experiment_2	DAY4	E8	F	57	SC	Day4_E8
C153_F1_Martello_Polo_Day4_E8_F_61	C153	F1	experiment_2	DAY4	E8	F	61	SC	Day4_E8
C153_F10_Martello_Polo_Day4_E8_F_70	C153	F10	experiment_2	DAY4	E8	F	70	SC	Day4_E8
C153_F11_Martello_Polo_Day4_E8_F_71	C153	F11	experiment_2	DAY4	E8	F	71	SC	Day4_E8
C153_F12_Martello_Polo_Day4_E8_F_72	C153	F12	experiment_2	DAY4	E8	F	72	SC	Day4_E8
C153_F2_Martello_Polo_Day4_E8_F_62	C153	F2	experiment_2	DAY4	E8	F	62	SC	Day4_E8
C153_F3_Martello_Polo_Day4_E8_F_63	C153	F3	experiment_2	DAY4	E8	F	63	SC	Day4_E8
C153_F4_Martello_Polo_Day4_E8_F_64	C153	F4	experiment_2	DAY4	E8	F	64	SC	Day4_E8
C153_F5_Martello_Polo_Day4_E8_F_65	C153	F5	experiment_2	DAY4	E8	F	65	SC	Day4_E8
C153_F6_Martello_Polo_Day4_E8_F_66	C153	F6	experiment_2	DAY4	E8	F	66	SC	Day4_E8
C153_F7_Martello_Polo_Day4_E8_F_67	C153	F7	experiment_2	DAY4	E8	F	67	SC	Day4_E8
C153_F8_Martello_Polo_Day4_E8_F_68	C153	F8	experiment_2	DAY4	E8	F	68	SC	Day4_E8
C153_F9_Martello_Polo_Day4_E8_F_69	C153	F9	experiment_2	DAY4	E8	F	69	SC	Day4_E8
C153_G1_Martello_Polo_Day4_E8_F_73	C153	G1	experiment_2	DAY4	E8	F	73	SC	Day4_E8
C153_G10_Martello_Polo_Day4_E8_F_82	C153	G10	experiment_2	DAY4	E8	F	82	SC	Day4_E8
C153_G11_Martello_Polo_Day4_E8_F_83	C153	G11	experiment_2	DAY4	E8	F	83	SC	Day4_E8
C153_G12_Martello_Polo_Day4_E8_F_84	C153	G12	experiment_2	DAY4	E8	F	84	SC	Day4_E8
C153_G2_Martello_Polo_Day4_E8_F_74	C153	G2	experiment_2	DAY4	E8	F	74	SC	Day4_E8
C153_G3_Martello_Polo_Day4_E8_F_75	C153	G3	experiment_2	DAY4	E8	F	75	SC	Day4_E8
C153_G4_Martello_Polo_Day4_E8_F_76	C153	G4	experiment_2	DAY4	E8	F	76	SC	Day4_E8
C153_G5_Martello_Polo_Day4_E8_F_77	C153	G5	experiment_2	DAY4	E8	F	77	SC	Day4_E8
C153_G6_Martello_Polo_Day4_E8_F_78	C153	G6	experiment_2	DAY4	E8	F	78	SC	Day4_E8
C153_G7_Martello_Polo_Day4_E8_F_79	C153	G7	experiment_2	DAY4	E8	F	79	SC	Day4_E8
C153_G8_Martello_Polo_Day4_E8_F_80	C153	G8	experiment_2	DAY4	E8	F	80	SC	Day4_E8
C153_G9_Martello_Polo_Day4_E8_F_81	C153	G9	experiment_2	DAY4	E8	F	81	SC	Day4_E8
C153_H1_Martello_Polo_Day4_E8_F_85	C153	H1	experiment_2	DAY4	E8	F	85	SC	Day4_E8
C153_H10_Martello_Polo_Day4_E8_F_94	C153	H10	experiment_2	DAY4	E8	F	94	SC	Day4_E8
C153_H11_Martello_Polo_Day4_E8_F_95	C153	H11	experiment_2	DAY4	E8	F	95	SC	Day4_E8
C153_H12_Martello_Polo_Day4_E8_F_96_MINIBULK	C153	H12	experiment_2	DAY4	E8	F	96	MINIBULK	Day4_E8
C153_H2_Martello_Polo_Day4_E8_F_86	C153	H2	experiment_2	DAY4	E8	F	86	SC	Day4_E8
C153_H3_Martello_Polo_Day4_E8_F_87	C153	H3	experiment_2	DAY4	E8	F	87	SC	Day4_E8
C153_H4_Martello_Polo_Day4_E8_F_88	C153	H4	experiment_2	DAY4	E8	F	88	SC	Day4_E8
C153_H5_Martello_Polo_Day4_E8_F_89	C153	H5	experiment_2	DAY4	E8	F	89	SC	Day4_E8
C153_H6_Martello_Polo_Day4_E8_F_90	C153	H6	experiment_2	DAY4	E8	F	90	SC	Day4_E8
C153_H7_Martello_Polo_Day4_E8_F_91	C153	H7	experiment_2	DAY4	E8	F	91	SC	Day4_E8
C153_H8_Martello_Polo_Day4_E8_F_92	C153	H8	experiment_2	DAY4	E8	F	92	SC	Day4_E8
C153_H9_Martello_Polo_Day4_E8_F_93	C153	H9	experiment_2	DAY4	E8	F	93	SC	Day4_E8
C153bis_A1_Martello_Polo_Day4_E8_F_1_EMPTY	C153bis	A1	experiment_2	DAY4	E8	F	1	EMPTY	Day4_E8
C153bis_A10_Martello_Polo_Day4_E8_F_10	C153bis	A10	experiment_2	DAY4	E8	F	10	SC	Day4_E8
C153bis_A11_Martello_Polo_Day4_E8_F_11	C153bis	A11	experiment_2	DAY4	E8	F	11	SC	Day4_E8
C153bis_A12_Martello_Polo_Day4_E8_F_12	C153bis	A12	experiment_2	DAY4	E8	F	12	SC	Day4_E8
C153bis_A2_Martello_Polo_Day4_E8_F_2	C153bis	A2	experiment_2	DAY4	E8	F	2	SC	Day4_E8
C153bis_A3_Martello_Polo_Day4_E8_F_3	C153bis	A3	experiment_2	DAY4	E8	F	3	SC	Day4_E8
C153bis_A4_Martello_Polo_Day4_E8_F_4	C153bis	A4	experiment_2	DAY4	E8	F	4	SC	Day4_E8
C153bis_A5_Martello_Polo_Day4_E8_F_5	C153bis	A5	experiment_2	DAY4	E8	F	5	SC	Day4_E8
C153bis_A6_Martello_Polo_Day4_E8_F_6	C153bis	A6	experiment_2	DAY4	E8	F	6	SC	Day4_E8
C153bis_A7_Martello_Polo_Day4_E8_F_7	C153bis	A7	experiment_2	DAY4	E8	F	7	SC	Day4_E8
C153bis_A8_Martello_Polo_Day4_E8_F_8	C153bis	A8	experiment_2	DAY4	E8	F	8	SC	Day4_E8
C153bis_A9_Martello_Polo_Day4_E8_F_9	C153bis	A9	experiment_2	DAY4	E8	F	9	SC	Day4_E8
C153bis_B1_Martello_Polo_Day4_E8_F_13	C153bis	B1	experiment_2	DAY4	E8	F	13	SC	Day4_E8
C153bis_B10_Martello_Polo_Day4_E8_F_22	C153bis	B10	experiment_2	DAY4	E8	F	22	SC	Day4_E8
C153bis_B11_Martello_Polo_Day4_E8_F_23	C153bis	B11	experiment_2	DAY4	E8	F	23	SC	Day4_E8
C153bis_B12_Martello_Polo_Day4_E8_F_24	C153bis	B12	experiment_2	DAY4	E8	F	24	SC	Day4_E8
C153bis_B2_Martello_Polo_Day4_E8_F_14	C153bis	B2	experiment_2	DAY4	E8	F	14	SC	Day4_E8
C153bis_B3_Martello_Polo_Day4_E8_F_15	C153bis	B3	experiment_2	DAY4	E8	F	15	SC	Day4_E8
C153bis_B4_Martello_Polo_Day4_E8_F_16	C153bis	B4	experiment_2	DAY4	E8	F	16	SC	Day4_E8
C153bis_B5_Martello_Polo_Day4_E8_F_17	C153bis	B5	experiment_2	DAY4	E8	F	17	SC	Day4_E8
C153bis_B6_Martello_Polo_Day4_E8_F_18	C153bis	B6	experiment_2	DAY4	E8	F	18	SC	Day4_E8
C153bis_B7_Martello_Polo_Day4_E8_F_19	C153bis	B7	experiment_2	DAY4	E8	F	19	SC	Day4_E8
C153bis_B8_Martello_Polo_Day4_E8_F_20	C153bis	B8	experiment_2	DAY4	E8	F	20	SC	Day4_E8
C153bis_B9_Martello_Polo_Day4_E8_F_21	C153bis	B9	experiment_2	DAY4	E8	F	21	SC	Day4_E8
C153bis_C1_Martello_Polo_Day4_E8_F_25	C153bis	C1	experiment_2	DAY4	E8	F	25	SC	Day4_E8
C153bis_C10_Martello_Polo_Day4_E8_F_34	C153bis	C10	experiment_2	DAY4	E8	F	34	SC	Day4_E8
C153bis_C11_Martello_Polo_Day4_E8_F_35	C153bis	C11	experiment_2	DAY4	E8	F	35	SC	Day4_E8
C153bis_C12_Martello_Polo_Day4_E8_F_36	C153bis	C12	experiment_2	DAY4	E8	F	36	SC	Day4_E8
C153bis_C2_Martello_Polo_Day4_E8_F_26	C153bis	C2	experiment_2	DAY4	E8	F	26	SC	Day4_E8
C153bis_C3_Martello_Polo_Day4_E8_F_27	C153bis	C3	experiment_2	DAY4	E8	F	27	SC	Day4_E8
C153bis_C4_Martello_Polo_Day4_E8_F_28	C153bis	C4	experiment_2	DAY4	E8	F	28	SC	Day4_E8
C153bis_C5_Martello_Polo_Day4_E8_F_29	C153bis	C5	experiment_2	DAY4	E8	F	29	SC	Day4_E8
C153bis_C6_Martello_Polo_Day4_E8_F_30	C153bis	C6	experiment_2	DAY4	E8	F	30	SC	Day4_E8
C153bis_C7_Martello_Polo_Day4_E8_F_31	C153bis	C7	experiment_2	DAY4	E8	F	31	SC	Day4_E8
C153bis_C8_Martello_Polo_Day4_E8_F_32	C153bis	C8	experiment_2	DAY4	E8	F	32	SC	Day4_E8
C153bis_C9_Martello_Polo_Day4_E8_F_33	C153bis	C9	experiment_2	DAY4	E8	F	33	SC	Day4_E8
C153bis_D1_Martello_Polo_Day4_E8_F_37	C153bis	D1	experiment_2	DAY4	E8	F	37	SC	Day4_E8
C153bis_D10_Martello_Polo_Day4_E8_F_46	C153bis	D10	experiment_2	DAY4	E8	F	46	SC	Day4_E8
C153bis_D11_Martello_Polo_Day4_E8_F_47	C153bis	D11	experiment_2	DAY4	E8	F	47	SC	Day4_E8
C153bis_D12_Martello_Polo_Day4_E8_F_48	C153bis	D12	experiment_2	DAY4	E8	F	48	SC	Day4_E8
C153bis_D2_Martello_Polo_Day4_E8_F_38	C153bis	D2	experiment_2	DAY4	E8	F	38	SC	Day4_E8
C153bis_D3_Martello_Polo_Day4_E8_F_39	C153bis	D3	experiment_2	DAY4	E8	F	39	SC	Day4_E8
C153bis_D4_Martello_Polo_Day4_E8_F_40	C153bis	D4	experiment_2	DAY4	E8	F	40	SC	Day4_E8
C153bis_D5_Martello_Polo_Day4_E8_F_41	C153bis	D5	experiment_2	DAY4	E8	F	41	SC	Day4_E8
C153bis_D6_Martello_Polo_Day4_E8_F_42	C153bis	D6	experiment_2	DAY4	E8	F	42	SC	Day4_E8
C153bis_D7_Martello_Polo_Day4_E8_F_43	C153bis	D7	experiment_2	DAY4	E8	F	43	SC	Day4_E8
C153bis_D8_Martello_Polo_Day4_E8_F_44	C153bis	D8	experiment_2	DAY4	E8	F	44	SC	Day4_E8
C153bis_D9_Martello_Polo_Day4_E8_F_45	C153bis	D9	experiment_2	DAY4	E8	F	45	SC	Day4_E8
C153bis_E1_Martello_Polo_Day4_E8_F_49	C153bis	E1	experiment_2	DAY4	E8	F	49	SC	Day4_E8
C153bis_E10_Martello_Polo_Day4_E8_F_58	C153bis	E10	experiment_2	DAY4	E8	F	58	SC	Day4_E8
C153bis_E11_Martello_Polo_Day4_E8_F_59	C153bis	E11	experiment_2	DAY4	E8	F	59	SC	Day4_E8
C153bis_E12_Martello_Polo_Day4_E8_F_60	C153bis	E12	experiment_2	DAY4	E8	F	60	SC	Day4_E8
C153bis_E2_Martello_Polo_Day4_E8_F_50	C153bis	E2	experiment_2	DAY4	E8	F	50	SC	Day4_E8
C153bis_E3_Martello_Polo_Day4_E8_F_51	C153bis	E3	experiment_2	DAY4	E8	F	51	SC	Day4_E8
C153bis_E4_Martello_Polo_Day4_E8_F_52	C153bis	E4	experiment_2	DAY4	E8	F	52	SC	Day4_E8
C153bis_E5_Martello_Polo_Day4_E8_F_53	C153bis	E5	experiment_2	DAY4	E8	F	53	SC	Day4_E8
C153bis_E6_Martello_Polo_Day4_E8_F_54	C153bis	E6	experiment_2	DAY4	E8	F	54	SC	Day4_E8
C153bis_E7_Martello_Polo_Day4_E8_F_55	C153bis	E7	experiment_2	DAY4	E8	F	55	SC	Day4_E8
C153bis_E8_Martello_Polo_Day4_E8_F_56	C153bis	E8	experiment_2	DAY4	E8	F	56	SC	Day4_E8
C153bis_E9_Martello_Polo_Day4_E8_F_57	C153bis	E9	experiment_2	DAY4	E8	F	57	SC	Day4_E8
C153bis_F1_Martello_Polo_Day4_E8_F_61	C153bis	F1	experiment_2	DAY4	E8	F	61	SC	Day4_E8
C153bis_F10_Martello_Polo_Day4_E8_F_70	C153bis	F10	experiment_2	DAY4	E8	F	70	SC	Day4_E8
C153bis_F11_Martello_Polo_Day4_E8_F_71	C153bis	F11	experiment_2	DAY4	E8	F	71	SC	Day4_E8
C153bis_F12_Martello_Polo_Day4_E8_F_72	C153bis	F12	experiment_2	DAY4	E8	F	72	SC	Day4_E8
C153bis_F2_Martello_Polo_Day4_E8_F_62	C153bis	F2	experiment_2	DAY4	E8	F	62	SC	Day4_E8
C153bis_F3_Martello_Polo_Day4_E8_F_63	C153bis	F3	experiment_2	DAY4	E8	F	63	SC	Day4_E8
C153bis_F4_Martello_Polo_Day4_E8_F_64	C153bis	F4	experiment_2	DAY4	E8	F	64	SC	Day4_E8
C153bis_F5_Martello_Polo_Day4_E8_F_65	C153bis	F5	experiment_2	DAY4	E8	F	65	SC	Day4_E8
C153bis_F6_Martello_Polo_Day4_E8_F_66	C153bis	F6	experiment_2	DAY4	E8	F	66	SC	Day4_E8
C153bis_F7_Martello_Polo_Day4_E8_F_67	C153bis	F7	experiment_2	DAY4	E8	F	67	SC	Day4_E8
C153bis_F8_Martello_Polo_Day4_E8_F_68	C153bis	F8	experiment_2	DAY4	E8	F	68	SC	Day4_E8
C153bis_F9_Martello_Polo_Day4_E8_F_69	C153bis	F9	experiment_2	DAY4	E8	F	69	SC	Day4_E8
C153bis_G1_Martello_Polo_Day4_E8_F_73	C153bis	G1	experiment_2	DAY4	E8	F	73	SC	Day4_E8
C153bis_G10_Martello_Polo_Day4_E8_F_82	C153bis	G10	experiment_2	DAY4	E8	F	82	SC	Day4_E8
C153bis_G11_Martello_Polo_Day4_E8_F_83	C153bis	G11	experiment_2	DAY4	E8	F	83	SC	Day4_E8
C153bis_G12_Martello_Polo_Day4_E8_F_84	C153bis	G12	experiment_2	DAY4	E8	F	84	SC	Day4_E8
