Sample	Plate	Well	WellType	Time	Experiment
232_A9_DAY4	232	A9	SC	DAY4	experiment_1
232_B1_DAY4	232	B1	SC	DAY4	experiment_1
232_B10_DAY4	232	B10	SC	DAY4	experiment_1
232_B11_DAY4	232	B11	SC	DAY4	experiment_1
232_B12_DAY4	232	B12	SC	DAY4	experiment_1
232_B2_DAY4	232	B2	SC	DAY4	experiment_1
232_B3_DAY4	232	B3	SC	DAY4	experiment_1
232_B4_DAY4	232	B4	SC	DAY4	experiment_1
232_B5_DAY4	232	B5	SC	DAY4	experiment_1
232_B6_DAY4	232	B6	SC	DAY4	experiment_1
232_B7_DAY4	232	B7	SC	DAY4	experiment_1
232_B8_DAY4	232	B8	SC	DAY4	experiment_1
232_B9_DAY4	232	B9	SC	DAY4	experiment_1
232_C1_DAY4	232	C1	SC	DAY4	experiment_1
232_C10_DAY4	232	C10	SC	DAY4	experiment_1
232_C11_DAY4	232	C11	SC	DAY4	experiment_1
232_C12_DAY4	232	C12	SC	DAY4	experiment_1
232_C2_DAY4	232	C2	SC	DAY4	experiment_1
232_C3_DAY4	232	C3	SC	DAY4	experiment_1
232_C4_DAY4	232	C4	SC	DAY4	experiment_1
232_C5_DAY4	232	C5	SC	DAY4	experiment_1
232_C6_DAY4	232	C6	SC	DAY4	experiment_1
232_C7_DAY4	232	C7	SC	DAY4	experiment_1
232_C8_DAY4	232	C8	SC	DAY4	experiment_1
232_C9_DAY4	232	C9	SC	DAY4	experiment_1
232_D1_DAY4	232	D1	SC	DAY4	experiment_1
232_D10_DAY4	232	D10	SC	DAY4	experiment_1
232_D11_DAY4	232	D11	SC	DAY4	experiment_1
232_D12_DAY4	232	D12	SC	DAY4	experiment_1
232_D2_DAY4	232	D2	SC	DAY4	experiment_1
232_D3_DAY4	232	D3	SC	DAY4	experiment_1
232_D4_DAY4	232	D4	SC	DAY4	experiment_1
232_D5_DAY4	232	D5	SC	DAY4	experiment_1
232_D6_DAY4	232	D6	SC	DAY4	experiment_1
232_D7_DAY4	232	D7	SC	DAY4	experiment_1
232_D8_DAY4	232	D8	SC	DAY4	experiment_1
232_D9_DAY4	232	D9	SC	DAY4	experiment_1
232_E1_DAY4	232	E1	SC	DAY4	experiment_1
232_E10_DAY4	232	E10	SC	DAY4	experiment_1
232_E11_DAY4	232	E11	SC	DAY4	experiment_1
232_E12_DAY4	232	E12	SC	DAY4	experiment_1
232_E2_DAY4	232	E2	SC	DAY4	experiment_1
232_E3_DAY4	232	E3	SC	DAY4	experiment_1
232_E4_DAY4	232	E4	SC	DAY4	experiment_1
232_E5_DAY4	232	E5	SC	DAY4	experiment_1
232_E6_DAY4	232	E6	SC	DAY4	experiment_1
232_E7_DAY4	232	E7	SC	DAY4	experiment_1
232_E8_DAY4	232	E8	SC	DAY4	experiment_1
232_E9_DAY4	232	E9	SC	DAY4	experiment_1
232_F1_DAY4	232	F1	SC	DAY4	experiment_1
232_F10_DAY4	232	F10	SC	DAY4	experiment_1
232_F11_DAY4	232	F11	SC	DAY4	experiment_1
232_F12_DAY4	232	F12	SC	DAY4	experiment_1
232_F2_DAY4	232	F2	SC	DAY4	experiment_1
232_F3_DAY4	232	F3	SC	DAY4	experiment_1
232_F4_DAY4	232	F4	SC	DAY4	experiment_1
232_F5_DAY4	232	F5	SC	DAY4	experiment_1
232_F6_DAY4	232	F6	SC	DAY4	experiment_1
232_F7_DAY4	232	F7	SC	DAY4	experiment_1
232_F8_DAY4	232	F8	SC	DAY4	experiment_1
232_F9_DAY4	232	F9	SC	DAY4	experiment_1
232_G1_DAY4	232	G1	SC	DAY4	experiment_1
